                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.82896,                 0.6876,                 1.3408,                0.91745,                0.64363,                 0.6976,                0.53005,                0.84803,                0.71091,                 1.4154,             0.00094746,             0.00094746,             0.00094746
                    112,                0.80812,                0.70507,                  1.328,                 0.8898,                0.64441,                0.69819,                0.53523,                0.84209,                 0.6966,                 1.3824,             0.00094085,             0.00094085,             0.00094085
                    113,                0.80998,                 0.6898,                 1.3376,                 0.8796,                0.65242,                0.69923,                0.52512,                0.85838,                0.67219,                 1.4067,             0.00093425,             0.00093425,             0.00093425
                    114,                0.79495,                 0.6991,                 1.3506,                0.91521,                0.65286,                 0.7021,                0.53263,                0.83079,                0.66834,                 1.3792,             0.00092765,             0.00092765,             0.00092765
                    115,                0.84868,                0.70828,                 1.3521,                0.92665,                0.65087,                0.69865,                 0.5305,                 0.8482,                 0.6823,                 1.4097,             0.00092105,             0.00092105,             0.00092105
                    116,                0.78448,                0.67255,                 1.3303,                0.93364,                 0.6481,                 0.6918,                0.52914,                0.84968,                0.69507,                 1.4167,             0.00091445,             0.00091445,             0.00091445
                    117,                0.84282,                0.70228,                 1.3699,                0.91702,                0.63792,                0.70073,                 0.5346,                0.82835,                0.71807,                 1.3899,             0.00090785,             0.00090785,             0.00090785
                    118,                0.81828,                0.69434,                 1.3318,                0.91299,                0.62895,                0.69786,                0.53291,                0.84488,                0.69801,                 1.4152,             0.00090125,             0.00090125,             0.00090125
                    119,                0.78137,                0.67243,                 1.3237,                0.94108,                0.63954,                0.70191,                0.53649,                0.84809,                0.69387,                 1.4055,             0.00089465,             0.00089465,             0.00089465
                    120,                0.80103,                0.71834,                 1.3072,                 0.9518,                0.64477,                0.70618,                0.53676,                 0.8347,                0.68497,                 1.3964,             0.00088804,             0.00088804,             0.00088804
                    121,                 0.7648,                0.65341,                 1.3035,                0.94776,                 0.6394,                0.70702,                0.54313,                0.80566,                0.69265,                 1.3675,             0.00088144,             0.00088144,             0.00088144
                    122,                0.78966,                 0.6553,                 1.3417,                 0.9341,                 0.6428,                0.70801,                0.54141,                0.82537,                0.70331,                 1.3969,             0.00087484,             0.00087484,             0.00087484
                    123,                0.75524,                 0.6291,                 1.3057,                0.91525,                0.63903,                0.69973,                 0.5392,                0.82532,                0.71504,                 1.3902,             0.00086824,             0.00086824,             0.00086824
                    124,                0.75243,                0.61964,                 1.2826,                0.91045,                0.64343,                0.70793,                0.54493,                0.83507,                0.67392,                 1.4012,             0.00086164,             0.00086164,             0.00086164
                    125,                0.75531,                0.62755,                  1.291,                0.91193,                0.65822,                0.70544,                0.53844,                0.84652,                0.65518,                 1.4117,             0.00085504,             0.00085504,             0.00085504
                    126,                0.73295,                0.61992,                 1.2897,                0.91886,                 0.6574,                0.70404,                0.54389,                0.82812,                0.65707,                 1.3946,             0.00084844,             0.00084844,             0.00084844
                    127,                0.72655,                0.61573,                 1.2602,                0.93144,                0.64276,                0.70206,                0.53832,                0.82876,                0.68911,                 1.4005,             0.00084184,             0.00084184,             0.00084184
                    128,                0.76631,                0.63651,                 1.2933,                0.92004,                0.63387,                0.69349,                0.53735,                0.80478,                0.70062,                 1.3738,             0.00083523,             0.00083523,             0.00083523
                    129,                0.75111,                0.61057,                 1.3041,                0.92504,                 0.6404,                0.69988,                0.53611,                0.81682,                0.68922,                 1.3929,             0.00082863,             0.00082863,             0.00082863
                    130,                0.75795,                0.63273,                 1.3034,                0.92825,                0.63199,                0.69515,                0.52453,                0.84613,                0.68711,                 1.4069,             0.00082203,             0.00082203,             0.00082203
                    131,                0.72831,                0.62305,                 1.3019,                0.92611,                0.62738,                0.68843,                0.52265,                0.85627,                0.68619,                 1.4192,             0.00081543,             0.00081543,             0.00081543
                    132,                 0.7513,                0.63864,                 1.2933,                0.90396,                0.63418,                0.69307,                0.52571,                0.87096,                 0.7002,                 1.4221,             0.00080883,             0.00080883,             0.00080883
                    133,                0.80606,                0.66001,                 1.2973,                0.94153,                0.61609,                0.69864,                0.52837,                0.86987,                0.68801,                  1.418,             0.00080223,             0.00080223,             0.00080223
                    134,                0.76069,                 0.6248,                 1.3033,                0.92197,                0.64176,                0.70077,                0.53947,                0.82894,                0.68635,                 1.3894,             0.00079563,             0.00079563,             0.00079563
                    135,                0.78401,                0.65855,                 1.3057,                0.95112,                0.62089,                0.70462,                0.54427,                0.82108,                0.69368,                 1.3955,             0.00078902,             0.00078902,             0.00078902
                    136,                0.74292,                0.61129,                 1.2909,                0.96128,                0.63061,                0.71068,                0.54008,                0.82833,                0.67885,                 1.4026,             0.00078242,             0.00078242,             0.00078242
                    137,                0.73924,                 0.6045,                 1.2593,                0.88816,                0.67448,                0.71297,                0.55575,                0.79697,                0.65488,                 1.3719,             0.00077582,             0.00077582,             0.00077582
                    138,                0.70565,                0.61468,                 1.2683,                0.91159,                0.65987,                0.71167,                 0.5611,                0.80485,                0.66938,                 1.3791,             0.00076922,             0.00076922,             0.00076922
                    139,                0.76177,                0.63221,                 1.2697,                0.92526,                0.65122,                0.70676,                0.55663,                0.82147,                 0.6763,                 1.4016,             0.00076262,             0.00076262,             0.00076262
                    140,                0.73055,                0.61342,                  1.292,                0.94033,                0.64337,                0.71277,                0.54465,                0.81205,                0.67095,                 1.3841,             0.00075602,             0.00075602,             0.00075602
                    141,                0.78812,                0.65008,                 1.3046,                0.91679,                0.65263,                0.70745,                0.54742,                0.80619,                0.67643,                 1.3894,             0.00074942,             0.00074942,             0.00074942
                    142,                0.75665,                0.62858,                 1.2738,                0.94582,                0.64489,                0.70487,                0.55588,                0.80904,                0.67817,                 1.3842,             0.00074282,             0.00074282,             0.00074282
                    143,                0.71869,                0.61117,                 1.2767,                0.93935,                0.65578,                0.70663,                0.55737,                0.80964,                 0.6623,                 1.3771,             0.00073621,             0.00073621,             0.00073621
